URL,443
https://www.restricted.secure.facebook.com,X,
https://private-autoconfig.new.facebook.com,X,
https://lite.secure.facebook.com,X,
https://autoconfig.secret.beta.facebook.com,X,
https://orange.secure.facebook.com,X,
https://test-webdisk.new.facebook.com,X,
https://c.ns.secure.facebook.com,X,
https://www.privileged.secure.facebook.com,X,
https://www.qa.new.facebook.com,X,
https://confidential-webdisk.secure.facebook.com,X,
https://www-vault.secure.facebook.com,X,
https://confidential.www.beta.facebook.com,X,
https://wwwvault.secure.facebook.com,X,
https://autoconfig-sensitive.beta.facebook.com,X,
https://speedy.secure.facebook.com,X,
https://backupautoconfig.beta.facebook.com,X,
https://vs.prod.facebook.com,X,
https://b.ns.secure.facebook.com,X,
https://synthetic-e2e-elbintern-sli-shv-01-lga3.prod.facebook.com,X,
https://tm.prod.facebook.com,X,
https://autodiscover-qa.secure.facebook.com,X,
https://privilegedautoconfig.secure.facebook.com,X,
https://staging-autodiscover.beta.facebook.com,X,
https://secureautoconfig.beta.facebook.com,X,
https://work.prod.facebook.com,X,
https://secureautodiscover.secure.facebook.com,X,
https://confidential.c.facebook.com,X,
https://apps.secure.facebook.com,X,
https://design.secure.facebook.com,X,
https://webdisk-secret.new.facebook.com,X,
https://wwwvault.beta.facebook.com,X,
https://sv.prod.facebook.com,X,
https://edgeray-turn-msgr-shv-01-fml1.secure.facebook.com,X,
https://about.secure.facebook.com,X,
https://www.sensitive.new.facebook.com,X,
https://webdisk-qa.beta.facebook.com,X,
https://secret.intern.facebook.com,X,
https://dev.prod.facebook.com,X,
https://webdiskrestricted.new.facebook.com,X,
https://prod.intern.facebook.com,X,
https://lm.secure.facebook.com,X,
https://webdisk.staging.beta.facebook.com,X,
https://www-qa.c.facebook.com,X,
https://confidential.secure.facebook.com,X,
https://sensitive.c.facebook.com,X,
https://vault.secure.facebook.com,X,
https://autoconfig-gateway.secure.facebook.com,X,
https://secure.c10r.secure.facebook.com,X,
https://backup-autoconfig.new.facebook.com,X,
https://www-staging.c.facebook.com,X,
https://internal.www.new.facebook.com,X,
https://gatewaywebdisk.new.facebook.com,X,
https://autodiscover.restricted.beta.facebook.com,X,
https://edge-mws-shv-02-lga3.prod.facebook.com,X,
https://confidential.webdisk.beta.facebook.com,X,
https://wwwsecret.beta.facebook.com,X,
https://autoconfiginternal.new.facebook.com,X,
https://sensitive.extern.facebook.com,X,
https://autodiscover.private.beta.facebook.com,X,
https://hs.prod.facebook.com,X,
https://cruise.prod.facebook.com,X,
https://secretautodiscover.secure.facebook.com,X,
https://internal.webdisk.secure.facebook.com,X,
https://autodiscover-restricted.beta.facebook.com,X,
https://privilegedwww.secure.facebook.com,X,
https://beta.secure.facebook.com,X,
https://secretwww.beta.facebook.com,X,
https://qawebdisk.new.facebook.com,X,
https://vs.secure.facebook.com,X,
https://autoconfig.secure.secure.facebook.com,X,
https://test.beta.facebook.com,X,
https://web.prod.facebook.com,X,
https://wwww.secure.facebook.com,X,
https://wwwmanagement.beta.facebook.com,X,
https://autodiscover-prod.secure.facebook.com,X,
https://www-backup.c.facebook.com,X,
https://m.prod.facebook.com,X,
https://test-webdisk.secure.facebook.com,X,
https://pay.prod.facebook.com,X,
https://india.prod.facebook.com,X,
https://wwwprivate.secure.facebook.com,X,
https://www-prod.beta.facebook.com,X,
https://managementwebdisk.beta.facebook.com,X,
https://vault.prod.facebook.com,X,
https://webdiskadmin.new.facebook.com,X,
https://privileged-autoconfig.new.facebook.com,X,
https://autodiscoverinternal.beta.facebook.com,X,
https://vault-autodiscover.secure.facebook.com,X,
https://autoconfig-backup.secure.facebook.com,X,
https://mx.vvv.prod.facebook.com,X,
https://cosmos.prod.facebook.com,X,
https://secret-autodiscover.secure.facebook.com,X,
https://management.c.facebook.com,X,
https://autoconfig-sensitive.new.facebook.com,X,
https://informatica.secure.facebook.com,X,
https://autodiscover-test.new.facebook.com,X,
https://internal.autoconfig.beta.facebook.com,X,
https://confidential-webdisk.new.facebook.com,X,
https://autoconfiggateway.new.facebook.com,X,
https://webdiskprod.secure.facebook.com,X,
https://extern.prod.facebook.com,X,
https://gateway.secure.facebook.com,X,
https://admin.webdisk.beta.facebook.com,X,
https://touch.prod.facebook.com,X,
https://cosmos.secure.facebook.com,X,
https://stagingautodiscover.beta.facebook.com,X,
https://demo7.secure.facebook.com,X,
https://webdisk-privileged.new.facebook.com,X,
https://autodiscover.qa.beta.facebook.com,X,
https://backup.www.secure.facebook.com,X,
https://internalautodiscover.new.facebook.com,X,
https://www-internal.secure.facebook.com,X,
https://privileged-autodiscover.secure.facebook.com,X,
https://autodiscover-backup.new.facebook.com,X,
https://sensitive-autoconfig.secure.facebook.com,X,
